DATE,VISITING TEAM,HOME TEAM,TIME
"SAT NOV 9, 2013",MINNESOTA,CAROLINA,7:00 PM ET
,,,
"SAT NOV 9, 2013",NY ISLANDERS,COLUMBUS,7:00 PM ET
,,,
"SAT NOV 9, 2013",PITTSBURGH,ST. LOUIS,8:00 PM ET
,,,
"SAT NOV 9, 2013",CHICAGO,DALLAS,8:00 PM ET
,,,
"SAT NOV 9, 2013",WASHINGTON,PHOENIX,8:00 PM ET
,,,
"SAT NOV 9, 2013",VANCOUVER,LOS ANGELES,10:00 PM ET
,,,
"SUN NOV 10, 2013",NY ISLANDERS,MONTREAL,6:00 PM ET
,,,
"SUN NOV 10, 2013",NASHVILLE,NEW JERSEY,7:00 PM ET
,,,
"SUN NOV 10, 2013",FLORIDA,NY RANGERS,7:00 PM ET
,,,
"SUN NOV 10, 2013",EDMONTON,CHICAGO,7:30 PM ET
,,,
"SUN NOV 10, 2013",SAN JOSE,WINNIPEG,8:00 PM ET
,,,
"SUN NOV 10, 2013",WASHINGTON,COLORADO,8:00 PM ET
,,,
"SUN NOV 10, 2013",VANCOUVER,ANAHEIM,8:00 PM ET
,,,
"MON NOV 11, 2013",TAMPA BAY,BOSTON,1:00 PM ET
,,,
"TUE NOV 12, 2013",LOS ANGELES,BUFFALO,7:00 PM ET
,,,
"TUE NOV 12, 2013",NASHVILLE,NY ISLANDERS,7:00 PM ET
,,,
"TUE NOV 12, 2013",NEW JERSEY,NY RANGERS,7:00 PM ET
,,,
"TUE NOV 12, 2013",COLUMBUS,WASHINGTON,7:00 PM ET
,,,
"TUE NOV 12, 2013",COLORADO,CAROLINA,7:00 PM ET
,,,
"TUE NOV 12, 2013",TAMPA BAY,MONTREAL,7:30 PM ET
,,,
"TUE NOV 12, 2013",PHILADELPHIA,OTTAWA,7:30 PM ET
,,,
"TUE NOV 12, 2013",WINNIPEG,DETROIT,7:30 PM ET
,,,
"TUE NOV 12, 2013",ANAHEIM,FLORIDA,7:30 PM ET
,,,
"TUE NOV 12, 2013",PHOENIX,ST. LOUIS,8:00 PM ET
,,,
"TUE NOV 12, 2013",SAN JOSE,CALGARY,9:00 PM ET
,,,
"WED NOV 13, 2013",TORONTO,MINNESOTA,7:30 PM ET
,,,
"WED NOV 13, 2013",PHILADELPHIA,PITTSBURGH,8:00 PM ET
,,,
"WED NOV 13, 2013",DALLAS,EDMONTON,10:00 PM ET
,,,
"THU NOV 14, 2013",COLUMBUS,BOSTON,7:00 PM ET
,,,
"THU NOV 14, 2013",LOS ANGELES,NY ISLANDERS,7:00 PM ET
,,,
"THU NOV 14, 2013",ANAHEIM,TAMPA BAY,7:30 PM ET
,,,
"THU NOV 14, 2013",PHOENIX,CHICAGO,8:00 PM ET
,,,
"THU NOV 14, 2013",COLORADO,ST. LOUIS,8:00 PM ET
,,,
"THU NOV 14, 2013",DALLAS,CALGARY,9:00 PM ET
,,,
"THU NOV 14, 2013",SAN JOSE,VANCOUVER,10:00 PM ET
,,,
"FRI NOV 15, 2013",TORONTO,BUFFALO,7:00 PM ET
,,,
"FRI NOV 15, 2013",LOS ANGELES,NEW JERSEY,7:00 PM ET
,,,
"FRI NOV 15, 2013",NASHVILLE,PITTSBURGH,7:00 PM ET
,,,
"FRI NOV 15, 2013",ANAHEIM,CAROLINA,7:00 PM ET
,,,
"FRI NOV 15, 2013",MONTREAL,COLUMBUS,7:00 PM ET
,,,
"FRI NOV 15, 2013",BOSTON,OTTAWA,7:30 PM ET
,,,
"FRI NOV 15, 2013",WASHINGTON,DETROIT,7:30 PM ET
,,,
"FRI NOV 15, 2013",FLORIDA,MINNESOTA,8:00 PM ET
,,,
"FRI NOV 15, 2013",PHILADELPHIA,WINNIPEG,8:00 PM ET
,,,
"FRI NOV 15, 2013",SAN JOSE,EDMONTON,10:00 PM ET
,,,
"SAT NOV 16, 2013",BUFFALO,TORONTO,7:00 PM ET
,,,
"SAT NOV 16, 2013",NY RANGERS,MONTREAL,7:00 PM ET
,,,
"SAT NOV 16, 2013",PITTSBURGH,NEW JERSEY,7:00 PM ET
,,,
"SAT NOV 16, 2013",DETROIT,NY ISLANDERS,7:00 PM ET
,,,
