DATE\TEAM,ANH,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WPG,WSH
2/1/2012,DAL-H,,,NYR-H,,LAK-A,,,,ANH-A,,,WSH-H,CBJ-H,,,,,,BUF-A,,,TOR-A,,,,PIT-H,,,FLA-A
2/2/2012,,,CAR-H,,BOS-A,,,EDM-A,MIN-H,SJS-A,VAN-A,CHI-H,,,COL-A,NJD-A,MON-H,PHI-A,,,,NSH-H,,DAL-H,,WPG-H,,DET-H,TBL-A,
2/3/2012,CBJ-H,,,,,ANH-A,CHI-H,CGY-A,,,,,WPG-H,STL-A,,,,,OTT-A,,NYI-H,,,,LAK-H,,,,FLA-A,
2/4/2012,,SJS-H,PIT-H,NYI-A,LAK-H,,,,VAN-H,MIN-H,EDM-A,DET-H,TBL-A,CAR-A,DAL-A,WSH-H,PHI-A,STL-H,BUF-H,,TOR-H,NJD-H,BOS-A,ARI-A,NSH-A,FLA-H,OTT-A,COL-A,,MON-A
2/5/2012,,,WSH-A,,,,,,,,,,,,,WPG-H,PIT-H,,,PHI-H,,NYR-A,NJD-A,,,,,,MON-A,BOS-H
2/6/2012,CGY-H,DET-H,,,,,ANH-A,,,,ARI-A,TOR-A,,,,,,,,,,,,,,,EDM-H,,,
2/7/2012,,DAL-A,,,,MIN-H,,COL-A,CHI-H,ARI-H,,,WSH-A,TBL-A,CBJ-A,PIT-H,NYR-A,VAN-H,PHI-A,NJD-H,STL-H,NYI-H,MON-A,,OTT-A,LAK-H,WPG-A,NSH-A,TOR-H,FLA-H
2/8/2012,CAR-H,,BUF-A,BOS-H,ANH-A,,SJS-A,,,,EDM-H,DET-A,,,,,,,,,,,,CGY-H,,,,,,
2/9/2012,,CGY-H,,,,DAL-H,ARI-A,,,CBJ-A,,,LAK-H,FLA-A,VAN-H,NYI-A,STL-H,OTT-A,MON-H,TBL-H,NSH-H,TOR-H,,,NJD-A,NYR-A,PHI-A,MIN-A,WSH-A,WPG-H
2/10/2012,DET-A,,,DAL-H,COL-A,,,SJS-A,CAR-H,BUF-A,ANH-H,,,,,,,,,,,,,CHI-H,,,,,,
